experiment,stratum,outcome,predictor,budget,n_tasks,n_selected,high_error_capture,random_expected_capture,selected_mean_error,overall_mean_error,error_lift,oracle_mean_error,oracle_normalized_utility,selected_mean_bound_to_error_ratio
E189,support_1::random_missing_pair,family_rms_error,diversity_lower_bound,0.2,480,96,0.3333333333333333,0.2,0.14818468678614968,0.11910630886332824,1.2441380158643671,0.21817122963965685,0.2935285032779199,0.31164968116708475
E189,support_1::random_missing_pair,family_rms_error,predicted_magnitude,0.2,480,96,0.3125,0.2,0.13957300850191073,0.11910630886332824,1.1718355629848924,0.21817122963965685,0.20659885939638262,
E189,support_1::random_missing_pair,family_rms_error,diversity_lower_bound,0.3,480,144,0.4722222222222222,0.3,0.1478571527747684,0.11910630886332824,1.2413880858689954,0.19009942355864093,0.4049807370029145,0.30015172598065054
E189,support_1::random_missing_pair,family_rms_error,predicted_magnitude,0.3,480,144,0.4097222222222222,0.3,0.13682866711595743,0.11910630886332824,1.1487944544815438,0.19009942355864093,0.24963488823796182,
E189,support_1::random_missing_pair,family_worst_error,diameter_half_lower_bound,0.1,480,48,0.3333333333333333,0.1,0.18652412625242484,0.12859643394522238,1.4504611094571849,0.2824658158644087,0.37647315914758556,0.3149860788605326
E189,support_1::random_missing_pair,family_worst_error,predicted_magnitude,0.1,480,48,0.20833333333333334,0.1,0.16607880537200015,0.12859643394522238,1.2914728680792498,0.2824658158644087,0.24359863514928437,
E189,support_1::random_missing_pair,family_worst_error,diameter_half_lower_bound,0.2,480,96,0.375,0.2,0.16447940984085446,0.12859643394522238,1.2790355439476415,0.22751966711268087,0.3627355753212082,0.31281858450370637
E189,support_1::random_missing_pair,family_worst_error,predicted_magnitude,0.2,480,96,0.3229166666666667,0.2,0.14982056632346663,0.12859643394522238,1.16504448628245,0.22751966711268087,0.21455154364309717,
E189,support_1::random_missing_pair,family_worst_error,diameter_half_lower_bound,0.3,480,144,0.4861111111111111,0.3,0.1609249828106788,0.12859643394522238,1.2513953760119605,0.1995459424635269,0.4556557126412773,0.303268435930917
E189,support_1::random_missing_pair,family_worst_error,predicted_magnitude,0.3,480,144,0.4097222222222222,0.3,0.1466914578268924,0.12859643394522238,1.1407117081440834,0.1995459424635269,0.2550408629962762,
E189,support_1::unseen_context_row,family_rms_error,diversity_lower_bound,0.1,1440,144,0.09722222222222222,0.1,0.11918297321853823,0.11650715010458448,1.0229670291613153,0.2301662943415638,0.02354252384985982,0.380400924295941
E189,support_1::unseen_context_row,family_rms_error,predicted_magnitude,0.1,1440,144,0.16666666666666666,0.1,0.13525791029877984,0.11650715010458448,1.1609408536502992,0.2301662943415638,0.16497361756569295,
E189,support_1::unseen_context_row,family_rms_error,diversity_lower_bound,0.2,1440,288,0.16319444444444445,0.2,0.11106219998024273,0.11650715010458448,0.9532650990136313,0.19476781639146884,-0.06957454341599778,0.3758649953599006
E189,support_1::unseen_context_row,family_rms_error,predicted_magnitude,0.2,1440,288,0.2673611111111111,0.2,0.12300360402476744,0.11650715010458448,1.0557601307246063,0.19476781639146884,0.08301046015080621,
E189,support_1::unseen_context_row,family_rms_error,diversity_lower_bound,0.3,1440,432,0.2962962962962963,0.3,0.11372687810344392,0.11650715010458448,0.9761364688892931,0.17440857840866109,-0.04801733018639218,0.3566171246073482
E189,support_1::unseen_context_row,family_rms_error,predicted_magnitude,0.3,1440,432,0.3263888888888889,0.3,0.11840112823288965,0.11650715010458448,1.0162563252693504,0.17440857840866109,0.032710387010812574,
E189,support_1::unseen_context_row,family_worst_error,diameter_half_lower_bound,0.1,1440,144,0.09722222222222222,0.1,0.1357205354765705,0.12650948411457802,1.0728091765329637,0.24019133199308998,0.08102482088289097,0.373680248020225
E189,support_1::unseen_context_row,family_worst_error,predicted_magnitude,0.1,1440,144,0.19444444444444445,0.1,0.1513141727692873,0.12650948411457802,1.1960697953067612,0.24019133199308998,0.2181939255703974,
E189,support_1::unseen_context_row,family_worst_error,diameter_half_lower_bound,0.2,1440,288,0.2152777777777778,0.2,0.12904186456142083,0.12650948411457802,1.0200173169985365,0.20450426445047146,0.03246858874320599,0.36137381415102765
E189,support_1::unseen_context_row,family_worst_error,predicted_magnitude,0.2,1440,288,0.28125,0.2,0.13589232380976382,0.12650948411457802,1.0741670852652272,0.20450426445047146,0.12030086699106697,
E189,support_1::unseen_context_row,family_worst_error,diameter_half_lower_bound,0.3,1440,432,0.31712962962962965,0.3,0.1268998947617156,0.12650948411457802,1.0030860188061788,0.18438219887693327,0.0067460226937811766,0.3502974144425448
E189,support_1::unseen_context_row,family_worst_error,predicted_magnitude,0.3,1440,432,0.3472222222222222,0.3,0.13007260099613122,0.12650948411457802,1.0281648202622196,0.18438219887693327,0.06156816551952932,
E189,support_1::unseen_perturbation_column,family_rms_error,diversity_lower_bound,0.1,960,96,0.16666666666666666,0.1,0.13762244170546734,0.12120570710039015,1.1354452277686877,0.270326740832518,0.11009000001010741,0.3054399499380011
E189,support_1::unseen_perturbation_column,family_rms_error,predicted_magnitude,0.1,960,96,0.041666666666666664,0.1,0.1072486955658641,0.12120570710039015,0.8848485614380684,0.270326740832518,-0.09359519033108096,
E189,support_1::unseen_perturbation_column,family_rms_error,diversity_lower_bound,0.2,960,192,0.28125,0.2,0.1314442376422372,0.12120570710039015,1.0844723469445778,0.2179973206826611,0.10577910795075755,0.3118058110549851
E189,support_1::unseen_perturbation_column,family_rms_error,predicted_magnitude,0.2,960,192,0.125,0.2,0.10872231346845528,0.12120570710039015,0.8970065524918283,0.2179973206826611,-0.12897185169171954,
